Label,Tweet;;;
"neutral,""buat para pembenci, paling pak presiden cuma tersenyum dan tetap berprasangka baik kpd pembencinya. ngk terlintas rasa dendam sedikitpun, ikhlas dan beliau super sabar, ingat nabi muhammad saw saat dibenci oleh yahudi hindun? begitulah islam yg rahmatan lil alamin""";;;
neutral,rata2 klo cuma follow ngga ada deh yg pake proof. aku pribadi suka kasih karena biar ga ke kelewat jeda waktu yg 3 menit;;;
"neutral,""saat si bodoh merasa ikhlas dengan kebodohannya, di saat itulah si alim tengah bersedih dengan ilmunya""";;;
"happy,""15 tahun yg lalu kau hadir di tengah kami menjadi penerus generasi ZULKIFLI cucu pertama Laki bagi kakek nya Selamat ulang tahun Anak papa bayujuli1007 15 tahun umur mu ,jadi lah laki [URL]""";;;
"happy,""ah, kabar baik pagi ini. thanl youu, big hit. thank you, jimin, thank you, allah alhamdulillah jimin""";;;
neutral,kaget? takut karna kemarin mintanya kurang banyak..??;;;
"neutral,""kita sering mengira diri ini lemah, kadang suka nggak puas atas pencapaian saat ini, tapi coba analisis lagi. kita juga udah melakukan hal dengan cukup baik, tidak menyerah aja itu udah point' plus, jadi mungkin bakalan baik lagi klo meyakini kemampuan diri sendiri.""";;;
"neutral,""halo admin, kenapa sekarang ada stasiun yg tidak bisa tap in/tap out dgn menggunakan tapcash? sy tadinya biasa pakai tapcash utk pp dari stasiun tigaraksa. sejak bln januari tdk bisa lagi.""";;;
"sadness,""sedih sihh, cuma gmna.""";;;
"love,""Karena bagiku, mencintai bukan hanya dengan memberikan ungkapan cinta, tapi bagaimana cara kita saling membuat tersenyum, nyaman dan bahagia. Dengan menerima perbedaan sifat yang kita miliki.""";;;
"love,"":( suka banget sama pemilihan katanya, indah banget huhu""";;;
"neutral,""andai saja dia percaya.. skenario berikutnya adl (happy) ending. tp mmg belum di-ending-kan oleh sang penulis. kunci-nya percaya, yg biasanya dikonflikkan sepanjang waktua”dipercayai atau mempercayai dulu. saling percaya = (happy) ending of kemanusiaan. langka di kala ini.""";;;
"anger,""dia siap kata kalau alter perkataan kena sign tepi tu. hello, aku ke yang kena sign? tanya la front hang apesal aku lak yang diragukan. nasib x kena carut aku dahlah ak marah betul kalau org spoil mood ak pepagi""";;;
"fear,""kiri, kalo kanan soalnya banyak bergerak takut kepentok""";;;
love,suka banget.;;;
"happy,""[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Duwet maut ibarat bintang sepak bola belgia hazard, lukaku.saling melengkapi dan melayani dlm mencapei kemenangan..""";;;
"love,""Kurang lebih begitulah isi surat Adipati Karna untuk istri tercintanya, Dewi Surtikanti. Memang tidak seterkenal yang lainnya tapi baik Adipati Karna maupun Dewi Surtikanti cinta mereka sangat besar dan hanya Dewi Surtikanti yang Adipati Karna cintai sampai maut menjemputnya.""";;;
"anger,""Sepertinya tatanan transparansi MASALAH ANGGARAN di pemProf DKI TERTUTUP sejak Anis menjabat sebagai Gubernur. Setiap detik selalu ramai dng masalah """"PEMBELIAN BARANG SILUMAN"""" # AHOK SANGAT FAIR TERHADAP MASALAH APAPUN MESKIPUN HARUS DI PENJARA""";;;
neutral,tim yang suka banget liat angka tabungan nambah tp teteup ga pelit sama diri sendiri apalagi buat makan + ga pelit juga buat beli beli kado dll. kalau barang mahal ya nabung dulu atau nunggu ada bonus baru deh beli. ga tiap bulan belanja barang mahal berkedok self reward;;;
"happy,""kak caa semangat terus yaahh!! u can do it well!! kalo capek, istirahat duluu, tapi jangan lupa balik lagi biar ga makin numpuk sending a lot of virtual hug buat kakakk!!""";;;
"sadness,""[USERNAME] Kan bener mas, di fisip ga ada pembekalan bagaimana skripsi itu atau minimal dapet motivasi rohani sblm menghadapi skripsi wkwk.""";;;
"love,""dari becanda-becandaan, jadi suka-sukaan, jadi sayang-sayangan dan sampai akhirnya saling takut kehilangan. :)""";;;
fear,ngeri ya;;;
"sadness,""[USERNAME] Ayah dari dulu sampai skrg bekerja pindah-pindah kota, saya merantau. Beberapa bulan lalu saya pulang ke Makassar, Ayah juga kebetulan pulang. tp tidak sempat ketemu, lalu di mnlpon mengajak makan bersama, saya tolak dgn alasan pergi bersama tm""";;;
anger,cowo kek gini alasan nya udh biasa di dengar;;;
love,SATU LAGI KALIAN DUA AKUN BASE YANG PALING AKU SAYANG. YANG PALING BISA MENGINGATKAN SATU SAMA LAIN. DAN MAKASIH BANYAK BUAT ADMIN2NYAAA ILY ILY ILY I PURPLE YOU! [USERNAME] [USERNAME] [USERNAME];;;
happy,enak donk;;;
neutral,gue kecil kenyang banget dipukul ibu gue. tapi sekarang gue bercandaannya suka manggil manggil dia make namanya doang. habit keluarga beda beda;;;
"anger,""DEBAT PANAS, Rocky Gerung vs Ruhut Sitompul , ROSI, ILC - Indonesia Lawy... [URL] lewat [USERNAME] gimana yang bilang jokowi kacung om [USERNAME] diem!!!!""";;;
sadness,ah sedih;;;
happy,Harini story iolls full muka alepan. Itu ja yg mampu buat pon haha. Happy birthday [USERNAME]. Bff yg paling gua sayang;;;
fear,kaget gw jelek bgt tolong;;;
anger,emosi bgt miu tahan aku supaya ga gebuk ele;;;
neutral,berita hari ini diawali dengan politikus korupsi;;;
"love,""sumpah sekeren itu, gila banget mark tuh kereenn bangeett bagus banget, sukaa. style bajunya jugaa, suka banget, so mark intinya""";;;
"love,""mau bikin list aktor dan aktris china kesukaan dah, soalnya aku orangnya suka lupaan namanya mereka haha :')""";;;
"happy,""trs kalo ciput, kalo kena itu disuruh pake atasan mukena!! awal2 liat kaget trs kayak mau ngetawain gt, tp makin lama makin biasa. atau engga, kalo lg ada pemeriksaan trs lg ga pake ciput, kita pada muter balik ngadep tembok masang ciput ga nyampe 15 detik lol""";;;
sadness,aku sedih nder:(;;;
"anger,""Nggak """"Ok"""". Saya dulu pengagum [USERNAME] . Sekarang GAK respek""";;;
"love,""Karena cinta gak butuh alasan, gak perlu penjelasan, happy anniversary 8th to my lovely [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] diriku masi setia I love you so much""";;;
fear,Yg pada nangis dimotor gitu emg gapada takut tbtb bawa motor jadi ga fokus dan malah jatoh atau tabrakan ya? Gua pernah nangis dimotor tapi ga histeris dan malah kepikiran serem aja ntar tbtb gua ketabrak grgr ga fokus nyetir :') drama emg :( [URL];;;
anger,bodoh..;;;
neutral,cerah;;;
"neutral,""bukan cinta atau suka tapi lebih ke persaudaran yang sempat terjalin jangan sampai lepas begitu saja, saya masih mengingatmu dan tak akan lupa kebaikanmu ku tunggu di salatiga. meskipun ga pernah kontaka""""an semoga kamu baca ini ya""";;;
sadness,ganggu banget dan bikin risih.. pingin resign jadinya :( padahal aku suka pekerjaan ini;;;
happy,[USERNAME] selamat ultah kak renoo wkwkw semoga kita bisa dipertemukan lagi di satu kelompok (kalo sama reno gppa deh). semoga bahagia dan sejahtera selalu bersama dek oza hehehe;;;
sadness,sedih bgt dilupakan;;;
"love,""most noticed kulit jadi lebih halus. pori-pori terlihat samar. setiap pagi kulitku terlihat fresh dan plumpy. efek brighteningnya juga ada. aku suka banget hidrasinya. untuk menghilangkan bekas jerawat belum terlihat ya, karena pemakaian juga masih sekitar 3 minggu.worth to try""";;;
"sadness,""gua ga enak banget keinget rant lama. kalo gua emang bukan manusia yang baik tapi serah lah. kek gua dah ngerasa kalian nyaman, kalian bisa dengerin apapun bahkan gua ngoceh tapi ternyata kalian malah ga suka ma gua ya terserah juga sih. gua masih bisa bahagia walau sendirian""";;;
"anger,""[USERNAME] [USERNAME] Please jangan bawa nama anak muda bro, kalau masih debat dg pak [USERNAME] tak pakai data apalagi nyinyir. Serasa generasi milenial kurang literatur.""";;;
"love,""sebagian wanita suka banget dg kalimat yg diucapkan oleh pasangannya. salah satu kalimat itu adalah """" yank, sini aku checkout kan sopimu""""""";;;
"sadness,""sorry to sayy, kbe harus takedown jujur sedih bgt tp mau gmn lg teh rasanya tuh aduh sekalian jg nanti ak mw debutin kisah baru mungkin ini kbe mau reborn tp ceritanya berubah 360° lah pokoknya jd lebih ringan alurnya aduh sorry bgt dan tungguin cerita selanjutnya yaa""";;;
"happy,""mun ujar jhon tralala """"semangat cantik""""""";;;
happy,nemu duit senang;;;
fear,ngeri yaampun;;;
"anger,""tapi keselnya sih ya itu, ada pertanyaan dari base yang mewakili gue banget, tapi kok sepi banget, gue udah nungguin padal""";;;
happy,semangat nyatetnya plz plz demi bisa kepilih lomba;;;
love,seluruh hidup saya. saya dedikasikan dan saya peruntukkan sebagai contoh untuk dia. bahkan saya rela mengubur mimpi saya dalam dalam demi bisa memperjuangkan cita cita nya. sesayang itu. saya tidak mau dia merasakan sulitnya hidup seperti apa yang saya sudah lalui.;;;
"love,""Walaupun kita jauh secara fisik, kita tahu kita selalu bersama. Walaupun kita tidak mengatakan Aku cinta kamu, kita tahu kita mencintai satu sama lain. Walaupun kita tidak mengatakan kita satu, kita tahu kita adalah satu.""";;;
"neutral,""nah ini baru imbang, masa hanya istri saja yg dituntut.""";;;
anger,jangan memancing emosi pagi pagi;;;
sadness,akuu ini lagi dengerin ost nya snowdrop yg judulnya friend sama wishes sedih banget sekarang tuh 7 harian nya sooho gak si;;;
"neutral,""semoga allah melimpahkan banyak rezeki orang orang yang bersangkutan, agar tidak membuat sedih mama dan saya, dengan tidak mengambil alih pesanan orang. semoga allah menggantikan rezeki baik berkali lipat untuk mama agar bisa terus membayar cicilan rumahnya. aamiin.""";;;
anger,gregetan kalau nonton tv beritanya korupsi mele _;;;
sadness,senyum tak selalu berarti seseorang bahagia. kadang seseorang tersenyum hanya karena tak ingin menjelaskan kenapa hatinya t;;;
fear,lah kann pada salty ngapa dah ak baru twt kaget anjir;;;
"anger,""Isu Kristenisasi itu sama saja dgn isu kebangkitan PKI. Tanpa data, minim fakta dan bilapun ada tak lebih dari pembingkaian di luar konteks! Isu yg dibuat untuk membangkitkan hantu demi keuntungan politis dan ekonomis. Tahyul dan bahlul!!""";;;
sadness,karna rasa kecewa itu lebih besar dari pada rasa cinta:);;;
anger,Niat ingin tidur di awal karna besok pagi anter ibu negara belanja bahan kue terus lagi dan lagi mesti ke capil ektp gue belun kelar udeh mao 2thn maleen;;;
neutral,pagi pagi masih ngantuk;;;
love,Semoga kau pun ikut merasakannya Menghayati dan memandang langit malam ini Agar kau lihat Ada purnama disana Ada bintang-bintang disana Yang selalu menemani dan mengawasi cinta kita Saat kita terlelap.;;;
"happy,""Ikut belajar dan berlatih dengan keseharian militer ternyata banyak hikmahnya, terutama masalah kedisiplinan, yaitu : - Disiplin ibadah shalatnya TBM""";;;
"neutral,""menurutku ya secara acting dah ga diraguin lagi ya si prilly, dapet pesannya juga kok. cuman dr segi alur agak gak pas. bikin kaget kenapa bisa begini/begitu, akhirannya agak gantung juga. 7,5/100.""";;;
"happy,""Materi Mr Roger Tol (Belanda) terkait dunia pernaskahan di Indonesia. Wow... Keren banget ya, negara kita ternyata punya 700 bahasa.. Ckckckck. #seminarpanji #sastra [USERNAME] [URL]""";;;
happy,hapy weding sri & rori menjadi keluarga kecil di dalam tuhan god bles us!;;;
happy,selamat pagi luar biasa tetap semangat;;;
happy,semoga harimu indah seperti langit yang cerah pada hari ini;;;
"neutral,""karena sehat itu kenikmatan yang luar biasa, yuk bergerak biar sehat""";;;
"love,""'Kamu mencintai Istri, bukan berarti kamu tidak cinta pada anak. Begitupun sebaliknya.' 'Karena cinta itu rasa, dan rasa, akan semakin tajam jika sering dilatih. Supaya ia terdidik dan semakin sensitif dengan perubahan meski sedikit.'""";;;
"sadness,""Manggilnya udah sayang-sayangan, kalau chat udah kangen-kangenan, ternyata cuma jadi temen pas dia lagi kesepian""";;;
love,ahh aku yg udah tau exo di 2016 tapi itu aku blm suka kpop eh sukaknya baru sekarang di tahun 2021 dan mereka lagi hiatus:'wlapun hiatus gue ttp cinta krena sllu ingin tau jadi gue kepoin mereka trus mkin gue kepo makin gue cinta dan syg bngetexo saranghajaa;;;
neutral,sabtu rasanya emg kaya weekend tp ga bisa santai yaa.. inget tagihan menanti;;;
"neutral,""mvs a¼ the house a¼ tolong dong, ada yg jelasin pesan dibalik ketiga ceritanya, aku agak paham buat cerita pertama pesannya gmn, cmn utk cerita kedua dan ketiga aku msh bingung. makasih ya""";;;
"anger,""Brasil, kandidat kuat juara 2014 tapi dihajar Jerman 1-7. Selain Neymar yang absen sehingga daya serang turun, Thiago Silva juga absen. Sisanya David Luiz, dimana dia? Gak dibawa!! Cuma 4 orang pemain yang main di 2014 masih dibawa ke Rusia. Kunci di Neymar yg haus gelar.""";;;
love,jangan pernah menyerah ku kan selalu di sini untuk bersamamu sayang melawan dunia jangan pernah merendah kau tak pernah sendiri kita bersamamu sayang berdarah bersama [URL];;;
"sadness,""Bagaimana burung yang """"jago"""" itu dapat dengan mudah tertipu, dan kembali dari perjalanan panjang mereka hanya dengan mulut yang penuh dengan plastik?""";;;
fear,[askmf] guys temenku ada yg nyilet tangannya sendiri. Aku takut dia lg depresi atau semacamnya. Aku sebagai temennya hrs gimana ya. Tapi kita beda kota skrg. Apa aku kasih tau ortunya? Tapi gaenak juga huhu;;;
anger,ya allah marah betul tengok video ni;;;
"anger,""hdeuu gw marah yhh tempe digituin, pdhl tempe makanan terenak dimuka bumi inie""";;;
anger,bukan emosian mba tapi bikin emosi;;;
fear,dirumahku yg kena umicron udah 40an takut..;;;
neutral,harusnya cara nya bisa biasa aja. bener bener bikin speechless. gilaa;;;
neutral,aph yg membuat mu ragu nak?;;;
"love,""aku gak akan ninggalin kamu - aku gak mau nyakitin kamu - aku sayang kamu - aku bakal selalu ada buat kamu - kita sama"""" terus ya - hei icintayou - aku cuma sayang kamu - aku gak mau kamu jauh dari aku """;;;
happy,mornin' pagi pagi ada kabar bahagia;;;
"happy,""Meskipun raganya telah tiada tapi jujur salah satu orang yg bikin penasaran dalam hidup Mas Tyoo. WHY? Krn gak pernah lihat Bung Besar ini di Televisi, beda sama Pak Soeharto. Namun.. Bendera MERAH PUTIH yang selalu berkibar adalah salah satu bukti NYATA PERJUANGAN BUNG BESAR""";;;
anger,aduh bangsat ganteng banget lagi ni orang;;;
anger,Jadi bos tp ga pny problem solving kok jd gmn gt ya...ga tau akar masalahnya gmn jd ya instan semua tar rusak lagi rusak lagi gitu aja teroos..;;;
"fear,""Semoga nggak nongol ybs, serem aing bisa salah tag""";;;
"happy,""Alhamdulillah akhirnya bisa kumpul, tapi sayang belum semua semoga ad wkt yg bisa mempertemukan kita semua, Aamiin Indramayu Punya""";;;
happy,nggak dong~ aku beli loyang 14cm 1 biji juga kemarin wkwkwkwkwk sempet mau beli yang 14 itu 2 sekalian kan enak kl mau kasih incip tetangga. tp nggak jadi beli 2 jadi besok gak bisa langsung ngovennya;;;
"neutral,""yg dibahas cuma masalah ekuivokasi, bib. ceramah orang kita pahami dengan positif lah. kalau yg dipermasalahkan adalah frasa """"pukulan"""" tentu maknanya akan bervariasi. secara konteks fikih pun pukulan dibolehkan, tapi yg mendidik bkn mencederai. koreksi saja, bib.""";;;
"happy,""pemipin yg penting byak ide bukan diberi ide terus menerus disetir, bgmna caranya bisa dalam jangka kurang 20th indonesia jadi super power rakyat makmur ..! gampang kok kuncinya tanpa perlu menghukum koruptor segala, tanpa, hutang, tanpa exploitasi sumber alam. sanggup..!""";;;
fear,[USERNAME] Saya mau tanya apa bener UN tahun 2018 untuk jenjang SMA sederajat akan di adakan ulang ? Banyak berita di luar sana bahwa akan ada remidial UN pada bulan juli mendatang . Mohon kejelasan nya .. Terima kasih [USERNAME] #FaktaAtauHoax;;;
"happy,""Christine Lagarde pun membagikan momen ke Pasar Tanah Abang di akun Twitter-nya. Namun ada yang lucu, dia salah menulis kata 'blusukan' menjadi 'blukusan'.#JokowiSekaliLagi""";;;
"neutral,""pasti kamu punyanya adik ketemu gede ya nder, makannya kamu ga biasa manggil adik. kamu bisanya manggil nama""";;;
"love,""aku pake charming wanginya tahan lama bahkan klo kringetan, wanginya tambah nempel di baju. klo freshy wanginya bunga banget, aku gk begitu suka bunga jd charming worth to try buat aku""";;;
neutral,apa kabar kawan2;;;
fear,ngeri takut hpnya keinjek;;;
happy,pagi bang semangat dmi sbuah perubahan dngn tindakan jauhi nato (not action talking only);;;
"happy,""suatu saat nanti, kalo aku noleh ke belakang dan inget masa sekarang aku bakal senyum dan bilang di dalem hati 'aku ga kehilangan apapun, tapi dia yg kehilangan orang yang paling sayang sama dia'.""";;;
"love,""Apa itu cinta? . Cinta... Adalah Ali, ketika dia berbaring tidur menggantikan Rasulullah Saw di kasur Nabi, padahal dia tahu bahwa sekelompok orang telah berkumpul untuk membunuh Rasulullah Saw, dia juga tahu bahwa dia mungkin saja tewas di kasur yang sama!! .""";;;
"anger,""anjing u kontol bangsat memek, munculkan lagi semua karakter yg ada di s1, lanjutkan s1, tp endingnya cacad no good""";;;
happy,baru bangun dapet kabar baik;;;
anger,Yang ditanyakan lagi nanti ada di dalam artikel itu  Terus kalo gak puas bikin deskripsi sendiri di hujat hujat sendiri .;;;
neutral,aslii tu orgnya aja hampir mau mukul tp kayanya mikir mikir krn itu anak orang takut jadi dia yg salah;;;
"happy,""[USERNAME] Wkwk malese talah. Contoh suudzon dalam cemburu: Gaberani duduk sebelahan ketika ada dia doi dan kamu. Mikirnya """"tuhkan knp sih gamau sebelahan, pasti biar ga dikira nempel terus ma aq"""" Wkwkkwwk pdhl gr2 sebelahmu dah ada temen yg lain.""";;;
"sadness,""Belum 3 bulan aing pusing gegara skripsi, lah ini udah kudu mikir proposal lagi. Ingin liburan, tp barusan aja balik dari liburan. Ga boleh sambat, tp gapapa kalau di twitter.""";;;
love,suka banget jadi munafik adalah jalan ninjaku.;;;
"sadness,""Melihat susunan kepanitiaan inagurasi, ospek jurusan, dan porangkar ini membuat saya sakit kepala dimana letak ketenangan tahun ketiga yaallah DIMANA""";;;
fear,takut banget;;;
sadness,habis manis sepah dibuang ngomongnya manis ujung-ujungnya cuma drama saja;;;
neutral,seperti nya akun saya juga dibokir;;;
"neutral,""tak perlu bersusah payah untuk membalas dendam, cukup maafkan setiap kesalahan. karena memaafkan adalah pembalasan yang terbaik.""";;;
"love,""Aku iya, sejelek apapun muka si taka di foto itu, tetep aja keliatan kawai di nataku tp kalo cowo lain pasti langsung dlm hati, alay bet dah nih cowok""";;;
neutral,mondol sekamar 5 orang..ngirit masak rame2..ada yg bawa panci..kompor..dandang..beras.. kurang enak..banyakin micin..;;;
"happy,""itu dibase. nyari mutual, trus bilangnya """"aku suka foto ga jelas"""" tapi yg di post jelas banget makanya mau ketawa wkwk""";;;
happy,cuma film ini yg bikin wa bolak balik bioskop 3x :))))) liat hugh jackman nyanyi dan nari dong. abis nonton film ini feels good aja rasanya. [URL];;;
"fear,""Kata siapa hidup ini tidak ada gunanya ? Ingat, kita diciptakan ini punya tujuan. Semua milik kita adalah barang titipan dan harus dikembalikan. Agama adalah tuntunan untuk membantu kita mencapai tujuan #Ramadan [URL]""";;;
"anger,""Sumpah ih mau jadi warga negara Thailand aja pas bencana nasional kek gini semuanya saling bantu bukannya saling tuding dan bacot berasa paling bener sendiri, di sosial media lagi. Bawa2 kepentingan politik lagi. Lagi musibah malah ditunggangin kepentingan sampah. Berag.""";;;
happy,udaranya mendukung sangat buat makan abis itu tidur hoam :o;;;
"neutral,""kalo mau menjadikan ayat tsb sbg hujjah, coba dipahami lg konteksnya jangan cuma text nya saja diayat tsb ada """"syarat dan ketentuannya"""" loh, enggk asal boleh saja monggo bisa dijadikan referensi""";;;
fear,laptopnya kaget itu;;;
"anger,""semoga kedepannya ga kejadian lagi Barista [USERNAME] Gancit ngeselin. Masa pesen espresso yg harusnya pahit jd manis. Kopi yg kamu jual bukan barang murah loh, jd wajar klo yg dicari kesempurnaan rasa. baru kali ini ada barista kayak gitu.""";;;
fear,tim zombie yang meningoy *takut gadapet univ tapi pen tep rebahan;;;
"happy,""Jumat lalu nonton inih! Selain tertarik settingnya yg di Jogja, aku penasaran stlh baca bahaya laten acak2 rambut di review Kak [USERNAME]  Dan emang bagus banget! Mata sembab gak karuan. Nonton yuk mumpung masih tayang.""";;;
"sadness,""Sampai kadang berpikir """"Tuhan gak adil. Aku seharusnya yg berada disana"""". Pemikiran seperti ini yang membuat kita sulit mengikhlaskan sesuatu. Namun aku sadar bahwa pemikiran seperti ini keliru. Apakah orang yang berada ditempat itu tidak berjuang dengan keras?""";;;
neutral,ada yang pernah suka sama temen sendiri yang udah deket banget gak? terus klian mendem aja jangan confess atau gimana?;;;
"sadness,""Kalo emg td hari terakhir bsa bercanda2 sama lu inshaallah gue udh siap buat pisah... Biar berat jga gaboleh egois, moga sukses ya lo ke depan""";;;
anger,tahulah nak luah kat siapa. terasa bodoh gila;;;
"happy,""aku pernah ni begini, lebih ke malu sih wkwk karna masak bareng temen tapi seruuu""";;;
"neutral,""ia..namun kita juga tau dua label itu bukan sekedar permainan politik saja. namun ad fakta2 yg kit harus sadari """"rasa"""" politik saat ini arahnya kmn.""";;;
"neutral,""bukannya yang """"sudah"""" malah dihimbau untuk dilindungi dari yang """"belum"""", karena ada khawatir bagi yg """"sudah"""" akan jatuh sakit oleh kehadiran mereka yg """"belum""""..? belum lagi wacana meski """"sudah"""" tetap masih """"bisa"""".. pandemi ini memang sebuah test iq""";;;
neutral,bisa gua jelasin hyung.. jangan.. jangan marah..;;;
"happy,""Apa persamaan antara jomblo dan puasa? Yap, benar. Sama-sama sabar menahan diri dan menunggu kenikmatan yang hakiki. Percaya bahwa kebahagiaan itu akan tiba pada waktunya... Semangat menunggu berbuka #SemangatPuasa""";;;
"love,""dulu ketika masih smp suka banget sama lagu ini, karena juga relate ya""";;;
happy,okok yung eciye sepertinya mau curhat sms saja yaw wahaha tragedi apa ini serius amat sepertinya;;;
"happy,""oalah, semangat bi""";;;
"happy,""Begitu diumumkan lulus 100%, mereka semua sujud syukur, dan langsung mengambil bunga...saat dia menghampiri, langsung memeluk & menciumku, air mata tak kuasa kubendung....""""mom, this is my birthday present for u.."""" """;;;
"neutral,""ingat lah rekan/partner/shohib ku, this is sabtu santai. enjoy.""";;;
happy,dari kemarin aku coba tahan buat gak buka twitter sekalinya buka dapat kabar kalau jimin sakit. kaya langsung nyesek gitu. tapi pas dia bilang kalau army ga usah khawatir. gimana ga makin nangis? tapi aku bersyukur sekarang dia udah sembuh. sehat terus ya anak baik. luv you;;;
sadness,sedih mart mu takde piala musim ni;;;
"fear,""[USERNAME] Iya lagi banyak film action nih... kemarin setelah Pengabdi Setan bnyk tuh film horror! kesel tiap kali liat trailernya sblm film mulai! bikin takut kan! ku klo nonton sering malem, jadi suka parno,wkwkwkwkwk""";;;
fear,takut ga bisa makan;;;
sadness,dari kemarin mao ganti ava susah sekali sudah;;;
"happy,""Kenapa ya kalo ngeliat orang lain ngelakuin tu serem, tapi kalo ngelakuin sendiri berani. Kalo udah ngeliat pasien tuh kayak jadi bisa ngelakuin apa aja buat mereka gitu. #Eaaaaaaa""";;;
"fear,""Jembatan depan super indo dago merupakan jembatan dengan anak tangga tersempit dan terterjal, serta pagar terpendek yang pernah gue naikin. Kalo nyokap2 pake gamis takut ketinggian, in sya Allah turun2 kaki lemas dan gemetar... [URL]""";;;
"neutral,""halo kesayangan kakak! kak vin hadir, mau cerita sini sama kakak? kakak udah pernah ngerasain dan sering dicurhatin soal pergamonan. bisa kasih kamu wake up call, biar kamu bisa menentukan langkah kami selanjutnya. tapi jangan takut, kak vin ga akan paksa kamu pake yang serem2""";;;
"anger,""dia diam diam benci gua, tapi dia cerita ke orang orang yang benci ke dia. dari 10 orang yang dia kenal kira kira 11 orang lah yang benci sama dia""";;;
fear,gua klo udh pd ngomongin skripsyid takut bgt dh sumpah;;;
"anger,""Masih bingung sama orang2 yang bilang 2019 ganti presiden. Gue sih its fine selama memang ada calon yang lebih mumpuni dari Jokowi. Tapi kenyataannya emang blom ada. Dan lucunya lagi, mereka yang bermain politik golongan justru malah ngusung Prabowo yang jelas2 sekuler :))""";;;
sadness,Fyi. Dan bapak yang tadi ku temuin di stasiun itu dalam kondisi semua badannya dingin. Mukanya pucat. Kayanya belum makan. Dia bawa kantong plastik yang isinya cuma air minum ukurankecil :(;;;
anger,woilah pagi pagi bikin emosi anjir;;;
"neutral,""alhamdulillah baek2 saja, pagi el..moga sehat selalu ya? sungkem buat bapak ibu""";;;
